"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14932","BalanceChanges_When_MultipleSpinsArePerformed","","Mon May 25 03:57:26 UTC 2026","passed","Mon May 25 03:57:41 UTC 2026","","","IrishWildsMobileTests","BalanceChanges_When_MultipleSpinsArePerformed"
"","4271","SelectedGameSuccessfullyLoaded_When_SelectingGame","","Mon May 25 03:58:26 UTC 2026","passed","Mon May 25 03:58:30 UTC 2026","","","SpinberryTests","SelectedGameSuccessfullyLoaded_When_SelectingGame"
"","14489","DefaultElementsAreDisplayed_When_GamePageIsLoaded","","Mon May 25 03:58:19 UTC 2026","passed","Mon May 25 03:58:34 UTC 2026","","","IrishWildsMobileTests","DefaultElementsAreDisplayed_When_GamePageIsLoaded"
"","4128","SelectedGameSuccessfullyLoaded_When_SelectingGame","","Mon May 25 03:59:18 UTC 2026","passed","Mon May 25 03:59:22 UTC 2026","","","SpinberryMobileTests","SelectedGameSuccessfullyLoaded_When_SelectingGame"
"","7426","HamburgerMenuElementsAreDisplayed_When_HamburgerMenuIsOpened","","Mon May 25 03:58:00 UTC 2026","passed","Mon May 25 03:58:08 UTC 2026","","","IrishWildsTests","HamburgerMenuElementsAreDisplayed_When_HamburgerMenuIsOpened"
"","7551","BalanceChanges_When_SingleSpinIsPerformed","","Mon May 25 03:57:21 UTC 2026","passed","Mon May 25 03:57:29 UTC 2026","","","IrishWildsTests","BalanceChanges_When_SingleSpinIsPerformed"
"","14080","BalanceChangesAndSpinsCounterIsDisplayed_When_AutoPlayIsStarted","","Mon May 25 03:57:52 UTC 2026","passed","Mon May 25 03:58:06 UTC 2026","","","IrishWildsMobileTests","BalanceChangesAndSpinsCounterIsDisplayed_When_AutoPlayIsStarted"
"","36336","AutoPlayElementsAreDisplayed_When_AutoPlayIsOpened","","Mon May 25 03:56:49 UTC 2026","passed","Mon May 25 03:57:26 UTC 2026","","","IrishWildsMobileTests","AutoPlayElementsAreDisplayed_When_AutoPlayIsOpened"
"","3583","SpinberryPageSucceededLoaded_When_NavigatingToHomePage","","Mon May 25 03:59:22 UTC 2026","passed","Mon May 25 03:59:26 UTC 2026","","","SpinberryMobileTests","SpinberryPageSucceededLoaded_When_NavigatingToHomePage"
"","5950","DefaultElementsAreDisplayed_When_GamePageIsLoaded","","Mon May 25 03:57:46 UTC 2026","passed","Mon May 25 03:57:52 UTC 2026","","","IrishWildsTests","DefaultElementsAreDisplayed_When_GamePageIsLoaded"
"","7966","BuyFeaturePopupElementsAreDisplayed_When_BuyButtonIsClicked","","Mon May 25 03:57:38 UTC 2026","passed","Mon May 25 03:57:46 UTC 2026","","","IrishWildsTests","BuyFeaturePopupElementsAreDisplayed_When_BuyButtonIsClicked"
"","20020","InsufficientFundsLabelIsDisplayedAndBuyButtonIsDisabled_When_PriceExceedsBalance","","Mon May 25 03:58:58 UTC 2026","passed","Mon May 25 03:59:18 UTC 2026","","","IrishWildsMobileTests","InsufficientFundsLabelIsDisplayedAndBuyButtonIsDisabled_When_PriceExceedsBalance"
"","9026","BalanceChanges_When_MultipleSpinsArePerformed","","Mon May 25 03:57:12 UTC 2026","passed","Mon May 25 03:57:21 UTC 2026","","","IrishWildsTests","BalanceChanges_When_MultipleSpinsArePerformed"
"","9241","BalanceChangesAndSpinsCounterIsDisplayed_When_AutoPlayIsStarted","","Mon May 25 03:57:29 UTC 2026","passed","Mon May 25 03:57:38 UTC 2026","","","IrishWildsTests","BalanceChangesAndSpinsCounterIsDisplayed_When_AutoPlayIsStarted"
"","13201","GameElementsAreDisplayed_When_PlayButtonIsClicked","","Mon May 25 03:58:34 UTC 2026","passed","Mon May 25 03:58:47 UTC 2026","","","IrishWildsMobileTests","GameElementsAreDisplayed_When_PlayButtonIsClicked"
"","13172","BuyFeaturePopupElementsAreDisplayed_When_BuyButtonIsClicked","","Mon May 25 03:58:06 UTC 2026","passed","Mon May 25 03:58:19 UTC 2026","","","IrishWildsMobileTests","BuyFeaturePopupElementsAreDisplayed_When_BuyButtonIsClicked"
"","11224","BalanceChanges_When_SingleSpinIsPerformed","","Mon May 25 03:57:41 UTC 2026","passed","Mon May 25 03:57:52 UTC 2026","","","IrishWildsMobileTests","BalanceChanges_When_SingleSpinIsPerformed"
"","11433","HamburgerMenuElementsAreDisplayed_When_HamburgerMenuIsOpened","","Mon May 25 03:58:47 UTC 2026","passed","Mon May 25 03:58:58 UTC 2026","","","IrishWildsMobileTests","HamburgerMenuElementsAreDisplayed_When_HamburgerMenuIsOpened"
"","18334","InsufficientFundsLabelIsDisplayedAndBuyButtonIsDisabled_When_PriceExceedsBalance","","Mon May 25 03:58:08 UTC 2026","passed","Mon May 25 03:58:26 UTC 2026","","","IrishWildsTests","InsufficientFundsLabelIsDisplayedAndBuyButtonIsDisabled_When_PriceExceedsBalance"
"","31905","AutoPlayElementsAreDisplayed_When_AutoPlayIsOpened","","Mon May 25 03:56:41 UTC 2026","passed","Mon May 25 03:57:12 UTC 2026","","","IrishWildsTests","AutoPlayElementsAreDisplayed_When_AutoPlayIsOpened"
"","3407","SpinberryPageSucceededLoaded_When_NavigatingToHomePage","","Mon May 25 03:58:30 UTC 2026","passed","Mon May 25 03:58:34 UTC 2026","","","SpinberryTests","SpinberryPageSucceededLoaded_When_NavigatingToHomePage"
"","8019","GameElementsAreDisplayed_When_PlayButtonIsClicked","","Mon May 25 03:57:52 UTC 2026","passed","Mon May 25 03:58:00 UTC 2026","","","IrishWildsTests","GameElementsAreDisplayed_When_PlayButtonIsClicked"
